sitecode,Class,Region,Region_detail,Region_detail2,Note,lat,long,beta_region,beta_id,ohwm_region,ohwm_id,corps_region,corps_id,nwca_region,nwca_id,DRNAREA_mi2,all_region,InBeta
46,I,PNW,PNW_WM,PNW,NA,44.61219,-118.47958,PNW,7,Northwest,0,WMVC,6,WMT,4,5.6,USA,NA
47,E,PNW,PNW_WM,PNW,NA,44.54166,-118.53875,PNW,7,Northwest,0,WMVC,6,WMT,4,6.95,USA,NA
48,I,PNW,PNW_WM,PNW,NA,44.53379,-118.5818,PNW,7,Northwest,0,WMVC,6,WMT,4,1.14,USA,NA
49,I,PNW,PNW_WM,PNW,NA,44.53495,-118.58838,PNW,7,Northwest,0,WMVC,6,WMT,4,0.78,USA,NA
50,E,PNW,PNW_WM,PNW,NA,44.57602,-118.47093,PNW,7,Northwest,0,WMVC,6,WMT,4,0.1,USA,NA
51,I,PNW,PNW_WM,PNW,NA,44.57826,-118.4381,PNW,7,Northwest,0,WMVC,6,WMT,4,0.05,USA,NA
52,I,PNW,PNW_WM,PNW,NA,44.57916,-118.44289,PNW,7,Northwest,0,WMVC,6,WMT,4,2.04,USA,NA
53,I,PNW,PNW_WM,PNW,NA,44.5278,-118.31679,PNW,7,Northwest,0,WMVC,6,WMT,4,1.13,USA,NA
54,E,PNW,PNW_AW,PNW,NA,44.43486,-118.15735,PNW,7,Northwest,0,AW,7,WMT,4,0.07,USA,NA
55,E,PNW,PNW_AW,PNW,NA,43.78522,-117.71345,PNW,7,Northwest,0,AW,7,XER,5,0.58,USA,NA
56,E,PNW,PNW_AW,PNW,NA,43.77974,-117.8254,PNW,7,Northwest,0,AW,7,XER,5,0.04,USA,NA
57,I,PNW,PNW_AW,PNW,NA,43.77965,-117.82545,PNW,7,Northwest,0,AW,7,XER,5,0.04,USA,NA
58,E,PNW,PNW_AW,PNW,NA,43.79375,-117.96696,PNW,7,Northwest,0,AW,7,XER,5,0.13,USA,NA
60,E,PNW,PNW_AW,PNW,NA,43.77572,-118.18162,PNW,7,Northwest,0,AW,7,XER,5,3.19,USA,NA
61,I,PNW,PNW_AW,PNW,NA,43.77419,-118.18554,PNW,7,Northwest,0,AW,7,XER,5,19.9,USA,NA
62,E,PNW,PNW_AW,PNW,NA,43.75391,-118.43787,PNW,7,Northwest,0,AW,7,XER,5,0.19,USA,NA
63,I,PNW,PNW_AW,PNW,NA,43.72819,-118.50715,PNW,7,Northwest,0,AW,7,XER,5,0.19,USA,NA
64,E,PNW,PNW_AW,PNW,NA,43.72509,-119.0021,PNW,7,Northwest,0,AW,7,WMT,4,0.09,USA,NA
65,I,PNW,PNW_AW,PNW,NA,43.73016,-119.00668,PNW,7,Northwest,0,AW,7,WMT,4,14,USA,NA
66,P,PNW,PNW_AW,PNW,NA,43.75846,-119.003,PNW,7,Northwest,0,AW,7,WMT,4,7.26,USA,NA
67,I,PNW,PNW_WM,PNW,NA,43.77722,-119.00016,PNW,7,Northwest,0,WMVC,6,WMT,4,4.74,USA,NA
68,I,PNW,PNW_WM,PNW,NA,43.78412,-118.99939,PNW,7,Northwest,0,WMVC,6,WMT,4,4.08,USA,NA
74,E,PNW,PNW_AW,PNW,NA,42.35164,-118.83721,PNW,7,Northwest,0,AW,7,XER,5,0.16,USA,NA
75,I,PNW,PNW_AW,PNW,NA,42.16487,-118.60408,PNW,7,Northwest,0,AW,7,XER,5,10.4,USA,NA
76,E,PNW,PNW_AW,PNW,NA,41.99907,-119.34003,PNW,7,Northwest,0,AW,7,XER,5,0.62,USA,NA
77,E,PNW,PNW_AW,PNW,NA,42.00054,-119.38972,PNW,7,Northwest,0,AW,7,XER,5,0.38,USA,NA
78,E,PNW,PNW_AW,PNW,NA,42.08057,-119.59604,PNW,7,Northwest,0,AW,7,XER,5,0.25,USA,NA
79,I,PNW,PNW_AW,PNW,NA,42.08511,-119.61683,PNW,7,Northwest,0,AW,7,XER,5,10.8,USA,NA
80,E,PNW,PNW_AW,PNW,NA,42.09296,-119.65202,PNW,7,Northwest,0,AW,7,XER,5,0.6,USA,NA
81,E,PNW,PNW_AW,PNW,NA,42.10116,-119.71201,PNW,7,Northwest,0,AW,7,XER,5,0.39,USA,NA
82,E,PNW,PNW_AW,PNW,NA,42.10483,-119.73469,PNW,7,Northwest,0,AW,7,XER,5,0.24,USA,NA
83,E,PNW,PNW_AW,PNW,NA,42.10752,-119.74735,PNW,7,Northwest,0,AW,7,XER,5,0.06,USA,NA
84,E,PNW,PNW_AW,PNW,NA,42.18121,-119.97511,PNW,7,Northwest,0,AW,7,XER,5,258,USA,NA
85,E,PNW,PNW_AW,PNW,NA,42.18488,-119.99065,PNW,7,Northwest,0,AW,7,XER,5,0.2,USA,NA
86,E,PNW,PNW_AW,PNW,NA,42.18522,-119.99137,PNW,7,Northwest,0,AW,7,XER,5,0.2,USA,NA
87,E,PNW,PNW_AW,PNW,NA,42.19072,-120.00322,PNW,7,Northwest,0,AW,7,XER,5,0.85,USA,NA
88,I,PNW,PNW_AW,PNW,NA,42.20023,-120.01082,PNW,7,Northwest,0,AW,7,XER,5,0.11,USA,NA
93,E,PNW,PNW_AW,PNW,NA,42.32926,-120.85497,PNW,7,Northwest,0,AW,7,WMT,4,0.93,USA,NA
94,I,PNW,PNW_AW,PNW,NA,42.3915,-121.37127,PNW,7,Northwest,0,AW,7,WMT,4,6.69,USA,NA
95,E,PNW,PNW_AW,PNW,NA,43.3687,-119.67022,PNW,7,Northwest,0,AW,7,XER,5,48.5,USA,NA
96,E,PNW,PNW_AW,PNW,NA,43.53835,-119.70568,PNW,7,Northwest,0,AW,7,XER,5,0.06,USA,NA
97,E,PNW,PNW_AW,PNW,NA,43.588,-119.96394,PNW,7,Northwest,0,AW,7,XER,5,0.32,USA,NA
98,E,PNW,PNW_AW,PNW,NA,43.58849,-119.99715,PNW,7,Northwest,0,AW,7,XER,5,0.33,USA,NA
99,E,PNW,PNW_AW,PNW,NA,43.96074,-120.74556,PNW,7,Northwest,0,AW,7,WMT,4,0.64,USA,NA
101,P,PNW,PNW_AW,PNW,NA,44.02051,-120.70044,PNW,7,Northwest,0,AW,7,WMT,4,184,USA,NA
102,E,PNW,PNW_AW,PNW,NA,44.02593,-120.70131,PNW,7,Northwest,0,AW,7,WMT,4,6.33,USA,NA
103,E,PNW,PNW_AW,PNW,NA,44.08641,-120.77918,PNW,7,Northwest,0,AW,7,WMT,4,1.91,USA,NA
104,E,PNW,PNW_AW,PNW,NA,44.09433,-120.78623,PNW,7,Northwest,0,AW,7,WMT,4,0.43,USA,NA
105,E,PNW,PNW_AW,PNW,NA,44.14732,-120.82568,PNW,7,Northwest,0,AW,7,WMT,4,0.07,USA,NA
106,E,PNW,PNW_WM,PNW,NA,44.522,-121.9944,PNW,7,Northwest,0,WMVC,6,WMT,4,2.42,USA,NA
107,P,PNW,PNW_WM,PNW,NA,43.64674,-122.19525,PNW,7,Northwest,0,WMVC,6,WMT,4,0.38,USA,NA
112,P,PNW,PNW_WM,PNW,NA,44.400818,-122.355923,PNW,7,Northwest,0,WMVC,6,WMT,4,0.3,USA,NA
113,P,PNW,PNW_WM,PNW,NA,44.75653,-122.30584,PNW,7,Northwest,0,WMVC,6,WMT,4,0.39,USA,NA
114,I,PNW,PNW_WM,PNW,NA,44.39709,-122.12478,PNW,7,Northwest,0,WMVC,6,WMT,4,0.22,USA,NA
115,I,PNW,PNW_WM,PNW,NA,44.42895,-121.8749,PNW,7,Northwest,0,WMVC,6,WMT,4,0.09,USA,NA
116,I,PNW,PNW_WM,PNW,NA,44.39901,-122.23802,PNW,7,Northwest,0,WMVC,6,WMT,4,0.14,USA,NA
118,E,PNW,PNW_WM,PNW,NA,44.72491,-122.2507,PNW,7,Northwest,0,WMVC,6,WMT,4,0.19,USA,NA
119,P,PNW,PNW_WM,PNW,NA,45.11633,-122.0755,PNW,7,Northwest,0,WMVC,6,WMT,4,0.12,USA,NA
120,I,PNW,PNW_WM,PNW,NA,44.39543,-122.11912,PNW,7,Northwest,0,WMVC,6,WMT,4,0.04,USA,NA
124,P,PNW,PNW_WM,PNW,NA,45.17566,-122.16295,PNW,7,Northwest,0,WMVC,6,WMT,4,0.23,USA,NA
127,P,PNW,PNW_WM,PNW,NA,44.40829,-122.21814,PNW,7,Northwest,0,WMVC,6,WMT,4,0.24,USA,NA
129,P,PNW,PNW_WM,PNW,NA,44.28803,-122.03218,PNW,7,Northwest,0,WMVC,6,WMT,4,0.99,USA,NA
130,P,PNW,PNW_WM,PNW,NA,44.39396,-122.17756,PNW,7,Northwest,0,WMVC,6,WMT,4,0.17,USA,NA
131,P,PNW,PNW_WM,PNW,NA,45.19466,-122.19229,PNW,7,Northwest,0,WMVC,6,WMT,4,0.17,USA,NA
133,P,PNW,PNW_WM,PNW,NA,43.61143,-122.11526,PNW,7,Northwest,0,WMVC,6,WMT,4,0.46,USA,NA
136,P,PNW,PNW_WM,PNW,NA,44.39264,-122.17999,PNW,7,Northwest,0,WMVC,6,WMT,4,0.08,USA,NA
137,E,PNW,PNW_WM,PNW,NA,45.08608,-122.05639,PNW,7,Northwest,0,WMVC,6,WMT,4,0.06,USA,NA
141,E,PNW,PNW_WM,PNW,NA,44.40413,-122.31182,PNW,7,Northwest,0,WMVC,6,WMT,4,64,USA,NA
142,P,PNW,PNW_WM,PNW,NA,44.40272,-122.32603,PNW,7,Northwest,0,WMVC,6,WMT,4,0.08,USA,NA
143,P,PNW,PNW_WM,PNW,NA,44.72705,-122.25266,PNW,7,Northwest,0,WMVC,6,WMT,4,0.04,USA,NA
147,I,PNW,PNW_WM,PNW,NA,43.61868,-122.08362,PNW,7,Northwest,0,WMVC,6,WMT,4,0.05,USA,NA
153,P,PNW,PNW_WM,PNW,NA,43.79659,-122.56046,PNW,7,Northwest,0,WMVC,6,WMT,4,0.07,USA,NA
160,E,PNW,PNW_WM,PNW,NA,44.4151,-122.03959,PNW,7,Northwest,0,WMVC,6,WMT,4,0.05,USA,NA
176,E,PNW,PNW_WM,PNW,NA,44.40307,-122.08722,PNW,7,Northwest,0,WMVC,6,WMT,4,0.08,USA,NA
182,P,PNW,PNW_WM,PNW,NA,45.05848,-123.67855,PNW,7,Northwest,0,WMVC,6,WMT,4,0.1,USA,NA
184,I,PNW,PNW_WM,PNW,NA,43.61834,-122.08235,PNW,7,Northwest,0,WMVC,6,WMT,4,0.03,USA,NA
185,E,PNW,PNW_WM,PNW,NA,45.17457,-122.16239,PNW,7,Northwest,0,WMVC,6,WMT,4,0.04,USA,NA
193,E,PNW,PNW_WM,PNW,NA,44.65164,-121.94846,PNW,7,Northwest,0,WMVC,6,WMT,4,0.07,USA,NA
199,I,PNW,PNW_WM,PNW,NA,43.62942,-122.35194,PNW,7,Northwest,0,WMVC,6,WMT,4,0.03,USA,NA
201,P,PNW,PNW_WM,PNW,NA,43.64912,-122.42476,PNW,7,Northwest,0,WMVC,6,WMT,4,0.15,USA,NA
204,P,PNW,PNW_WM,PNW,NA,43.66168,-123.12519,PNW,7,Northwest,0,WMVC,6,WMT,4,0.3,USA,NA
211,I,PNW,PNW_WM,PNW,NA,43.68937,-122.41305,PNW,7,Northwest,0,WMVC,6,WMT,4,0.2,USA,NA
213,E,PNW,PNW_WM,PNW,NA,43.69535,-122.93059,PNW,7,Northwest,0,WMVC,6,WMT,4,0.25,USA,NA
222,P,PNW,PNW_WM,PNW,NA,43.75988,-122.93753,PNW,7,Northwest,0,WMVC,6,WMT,4,0.12,USA,NA
224,E,PNW,PNW_WM,PNW,NA,43.79201,-123.13286,PNW,7,Northwest,0,WMVC,6,WMT,4,0.01,USA,NA
227,E,PNW,PNW_WM,PNW,NA,43.81263,-122.72755,PNW,7,Northwest,0,WMVC,6,WMT,4,0.32,USA,NA
229,P,PNW,PNW_WM,PNW,NA,43.82755,-122.74614,PNW,7,Northwest,0,WMVC,6,WMT,4,0.04,USA,NA
233,P,PNW,PNW_WM,PNW,NA,43.85648,-122.70171,PNW,7,Northwest,0,WMVC,6,WMT,4,0.04,USA,NA
238,I,PNW,PNW_WM,PNW,NA,43.86297,-122.68497,PNW,7,Northwest,0,WMVC,6,WMT,4,0.06,USA,NA
243,P,PNW,PNW_WM,PNW,NA,43.89115,-123.19679,PNW,7,Northwest,0,WMVC,6,WMT,4,0.13,USA,NA
255,I,PNW,PNW_WM,PNW,NA,43.97129,-122.54663,PNW,7,Northwest,0,WMVC,6,WMT,4,0.08,USA,NA
256,P,PNW,PNW_WM,PNW,NA,43.99417,-122.59685,PNW,7,Northwest,0,WMVC,6,WMT,4,0.01,USA,NA
277,I,PNW,PNW_WM,PNW,NA,44.23479,-123.40114,PNW,7,Northwest,0,WMVC,6,WMT,4,0.67,USA,NA
290,I,PNW,PNW_WM,PNW,NA,44.24905,-123.4203,PNW,7,Northwest,0,WMVC,6,WMT,4,0.04,USA,NA
291,I,PNW,PNW_WM,PNW,NA,44.2508,-122.8823,PNW,7,Northwest,0,WMVC,6,WMT,4,4.48,USA,NA
293,E,PNW,PNW_WM,PNW,NA,44.25167,-122.86263,PNW,7,Northwest,0,WMVC,6,WMT,4,2.1,USA,NA
296,P,PNW,PNW_WM,PNW,NA,44.26683,-122.87573,PNW,7,Northwest,0,WMVC,6,WMT,4,3.02,USA,NA
302,I,PNW,PNW_WM,PNW,NA,44.39506,-123.3236,PNW,7,Northwest,0,WMVC,6,WMT,4,0.08,USA,NA
307,P,PNW,PNW_WM,PNW,NA,44.64521,-123.27825,PNW,7,Northwest,0,WMVC,6,WMT,4,0.15,USA,NA
334,P,PNW,PNW_WM,PNW,NA,45.24968,-122.89248,PNW,7,Northwest,0,WMVC,6,WMT,4,0.007,USA,NA
335,I,PNW,PNW_WM,PNW,NA,45.25155,-122.89331,PNW,7,Northwest,0,WMVC,6,WMT,4,0.007,USA,NA
336,I,PNW,PNW_WM,PNW,NA,45.25174,-122.89781,PNW,7,Northwest,0,WMVC,6,WMT,4,12.2,USA,NA
348,E,PNW,PNW_WM,PNW,NA,43.64249,-122.42834,PNW,7,Northwest,0,WMVC,6,WMT,4,0.05,USA,NA
349,I,PNW,PNW_WM,PNW,NA,43.64348,-122.40747,PNW,7,Northwest,0,WMVC,6,WMT,4,0.06,USA,NA
350,P,PNW,PNW_WM,PNW,NA,43.66106,-123.11461,PNW,7,Northwest,0,WMVC,6,WMT,4,0.01,USA,NA
353,E,PNW,PNW_WM,PNW,NA,43.68962,-122.41317,PNW,7,Northwest,0,WMVC,6,WMT,4,0.21,USA,NA
354,P,PNW,PNW_WM,PNW,NA,43.69524,-122.93012,PNW,7,Northwest,0,WMVC,6,WMT,4,0.24,USA,NA
356,I,PNW,PNW_WM,PNW,NA,43.71092,-123.08381,PNW,7,Northwest,0,WMVC,6,WMT,4,0.05,USA,NA
358,P,PNW,PNW_WM,PNW,NA,43.7604,-122.93735,PNW,7,Northwest,0,WMVC,6,WMT,4,0.12,USA,NA
373,E,PNW,PNW_WM,PNW,NA,43.91382,-123.16544,PNW,7,Northwest,0,WMVC,6,WMT,4,0.05,USA,NA
382,I,PNW,PNW_WM,PNW,NA,44.00645,-122.97961,PNW,7,Northwest,0,WMVC,6,WMT,4,0.33,USA,NA
383,I,PNW,PNW_WM,PNW,NA,43.99944,-122.97526,PNW,7,Northwest,0,WMVC,6,WMT,4,0.09,USA,NA
391,P,PNW,PNW_WM,PNW,NA,44.203,-122.98948,PNW,7,Northwest,0,WMVC,6,WMT,4,0.08,USA,NA
393,E,PNW,PNW_WM,PNW,NA,44.23895,-123.41121,PNW,7,Northwest,0,WMVC,6,WMT,4,0.04,USA,NA
394,I,PNW,PNW_WM,PNW,NA,44.25324,-122.84688,PNW,7,Northwest,0,WMVC,6,WMT,4,0.05,USA,NA
395,E,PNW,PNW_WM,PNW,NA,44.2824,-122.82162,PNW,7,Northwest,0,WMVC,6,WMT,4,0.04,USA,NA
399,E,PNW,PNW_WM,PNW,NA,44.71422,-123.32855,PNW,7,Northwest,0,WMVC,6,WMT,4,0.07,USA,NA
402,E,PNW,PNW_WM,PNW,NA,44.71813,-123.33069,PNW,7,Northwest,0,WMVC,6,WMT,4,0.09,USA,NA
411,I,PNW,PNW_WM,PNW,NA,44.96185,-123.25128,PNW,7,Northwest,0,WMVC,6,WMT,4,0.08,USA,NA
417,E,PNW,PNW_WM,PNW,NA,45.1117,-123.03256,PNW,7,Northwest,0,WMVC,6,WMT,4,1.2,USA,NA
424,I,PNW,PNW_WM,PNW,NA,44.41079,-123.34331,PNW,7,Northwest,0,WMVC,6,WMT,4,0.05,USA,NA
425,E,PNW,PNW_WM,PNW,NA,44.71386,-123.3274,PNW,7,Northwest,0,WMVC,6,WMT,4,0.14,USA,NA
426,P,PNW,PNW_WM,PNW,NA,44.7194,-123.32548,PNW,7,Northwest,0,WMVC,6,WMT,4,0.05,USA,NA
427,E,PNW,PNW_WM,PNW,NA,43.84355,-122.68997,PNW,7,Northwest,0,WMVC,6,WMT,4,0.001,USA,NA
429,I,PNW,PNW_WM,PNW,NA,44.591331,-123.310949,PNW,7,Northwest,0,WMVC,6,WMT,4,0.58,USA,NA
430,I,PNW,PNW_WM,PNW,NA,44.58888,-123.3165,PNW,7,Northwest,0,WMVC,6,WMT,4,0.02,USA,NA
431,I,PNW,PNW_WM,PNW,NA,44.409251,-123.331845,PNW,7,Northwest,0,WMVC,6,WMT,4,0.29,USA,NA
432,I,PNW,PNW_WM,PNW,NA,44.41081,-123.33764,PNW,7,Northwest,0,WMVC,6,WMT,4,0.19,USA,NA
433,I,PNW,PNW_WM,PNW,NA,44.38992,-123.32309,PNW,7,Northwest,0,WMVC,6,WMT,4,0.18,USA,NA
701,E,PNW,PNW_WM,PNW,NA,47.36793,-122.0918,PNW,7,Northwest,0,WMVC,6,WMT,4,0.61,USA,NA
702,P,PNW,PNW_WM,PNW,NA,47.43418,-121.97229,PNW,7,Northwest,0,WMVC,6,WMT,4,5.86,USA,NA
704,I,PNW,PNW_WM,PNW,NA,47.49825,-122.84756,PNW,7,Northwest,0,WMVC,6,WMT,4,0.16,USA,NA
705,I,PNW,PNW_WM,PNW,NA,47.49915,-122.85064,PNW,7,Northwest,0,WMVC,6,WMT,4,3.67,USA,NA
706,E,PNW,PNW_WM,PNW,NA,47.48909,-122.85938,PNW,7,Northwest,0,WMVC,6,WMT,4,0.003,USA,NA
707,E,PNW,PNW_WM,PNW,NA,47.48921,-122.85963,PNW,7,Northwest,0,WMVC,6,WMT,4,0.003,USA,NA
708,I,PNW,PNW_WM,PNW,NA,47.47025,-122.86085,PNW,7,Northwest,0,WMVC,6,WMT,4,1.39,USA,NA
709,I,PNW,PNW_WM,PNW,NA,47.44029,-122.93584,PNW,7,Northwest,0,WMVC,6,WMT,4,3.86,USA,NA
710,E,PNW,PNW_WM,PNW,NA,47.4397,-122.94479,PNW,7,Northwest,0,WMVC,6,WMT,4,0.01,USA,NA
711,I,PNW,PNW_WM,PNW,NA,47.43924,-122.95941,PNW,7,Northwest,0,WMVC,6,WMT,4,0.83,USA,NA
712,I,PNW,PNW_WM,PNW,NA,47.43306,-122.97601,PNW,7,Northwest,0,WMVC,6,WMT,4,0.09,USA,NA
713,E,PNW,PNW_WM,PNW,NA,47.43116,-122.98071,PNW,7,Northwest,0,WMVC,6,WMT,4,0.01,USA,NA
714,E,PNW,PNW_WM,PNW,NA,47.43161,-122.9831,PNW,7,Northwest,0,WMVC,6,WMT,4,0.01,USA,NA
715,P,PNW,PNW_WM,PNW,NA,47.59156,-123.11531,PNW,7,Northwest,0,WMVC,6,WMT,4,2.39,USA,NA
716,P,PNW,PNW_WM,PNW,NA,47.51377,-123.14085,PNW,7,Northwest,0,WMVC,6,WMT,4,0.67,USA,NA
717,E,PNW,PNW_WM,PNW,NA,47.50995,-123.14663,PNW,7,Northwest,0,WMVC,6,WMT,4,0.02,USA,NA
718,I,PNW,PNW_WM,PNW,NA,47.51093,-123.15,PNW,7,Northwest,0,WMVC,6,WMT,4,0.46,USA,NA
720,P,PNW,PNW_WM,PNW,NA,46.21464,-123.29617,PNW,7,Northwest,0,WMVC,6,WMT,4,2.72,USA,NA
722,P,PNW,PNW_WM,PNW,NA,46.20208,-123.29405,PNW,7,Northwest,0,WMVC,6,WMT,4,0.06,USA,NA
723,P,PNW,PNW_WM,PNW,NA,46.21503,-123.29454,PNW,7,Northwest,0,WMVC,6,WMT,4,0.18,USA,NA
724,P,PNW,PNW_WM,PNW,NA,46.22933,-123.29079,PNW,7,Northwest,0,WMVC,6,WMT,4,0.08,USA,NA
725,I,PNW,PNW_WM,PNW,NA,46.23364,-123.27167,PNW,7,Northwest,0,WMVC,6,WMT,4,0.07,USA,NA
730,E,PNW,PNW_WM,PNW,NA,47.58446,-123.09101,PNW,7,Northwest,0,WMVC,6,WMT,4,0.08,USA,NA
731,E,PNW,PNW_WM,PNW,NA,47.59242,-123.18806,PNW,7,Northwest,0,WMVC,6,WMT,4,0.01,USA,NA
732,P,PNW,PNW_WM,PNW,NA,47.59639,-123.17448,PNW,7,Northwest,0,WMVC,6,WMT,4,0.05,USA,NA
740,E,PNW,PNW_AW,PNW,NA,43.14193,-115.60078,PNW,7,Northwest,0,AW,7,XER,5,2.64,USA,NA
741,E,PNW,PNW_AW,PNW,NA,43.13926,-115.59671,PNW,7,Northwest,0,AW,7,XER,5,0.51,USA,NA
742,E,PNW,PNW_AW,PNW,NA,43.13131,-115.53141,PNW,7,Northwest,0,AW,7,XER,5,5.3,USA,NA
743,I,PNW,PNW_AW,PNW,NA,43.12477,-115.4978,PNW,7,Northwest,0,AW,7,XER,5,12.03,USA,NA
744,E,PNW,PNW_AW,PNW,NA,43.12227,-115.47954,PNW,7,Northwest,0,AW,7,XER,5,0.15,USA,NA
745,P,PNW,PNW_AW,PNW,NA,43.20457,-115.55507,PNW,7,Northwest,0,AW,7,XER,5,8.96,USA,NA
746,I,PNW,PNW_AW,PNW,NA,43.25084,-115.63242,PNW,7,Northwest,0,AW,7,XER,5,1.13,USA,NA
747,I,PNW,PNW_AW,PNW,NA,43.25594,-115.68164,PNW,7,Northwest,0,AW,7,XER,5,1.56,USA,NA
